Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
Tidak Lulus,Tidak Lulus,9.9,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
EKONOMI PEMBANGUNAN,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.2,10.1,1.1,0,10.1,10.1,10.1,10.1
PENDIDIKAN EKONOMI,pil_1,10.9,10.7,1,0,10.7,10.7,10.7,10.7
"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",pil_1,10.7,10.5,1.1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
AKUNTANSI,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7
EKONOMI PEMBANGUNAN,pil_1,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",pil_1,9.9,9.8,1.1,0,9.8,9.8,9.8,9.8
EKONOMI PEMBANGUNAN,pil_1,10.6,10.6,1,0,10.6,10.6,10.6,10.6
"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",pil_1,10.2,10.1,1.1,0,10.1,10.1,10.1,10.1
"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",pil_1,10.2,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.2,1.1,0,10.2,10.2,10.2,10.2
EKONOMI SYARIAH,pil_1,10.4,10.3,1,0,10.3,10.3,10.3,10.3
PENDIDIKAN LUAR SEKOLAH,pil_1,10.1,10,1,0,10,10,10,10
ILMU POLITIK,pil_1,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.5,10.6,1,0,10.6,10.6,10.6,10.6
EKONOMI PEMBANGUNAN,pil_1,10.5,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
ILMU POLITIK,pil_1,11,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
ILMU POLITIK,pil_1,11.1,11.2,1,0,11.2,11.2,11.2,11.2
Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,11,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,11.1,11,1.1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.9,9.7,1,0,9.7,9.7,9.7,9.7
Tidak Lulus,Tidak Lulus,10.6,11.1,1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
PENDIDIKAN MATEMATIKA,pil_1,11.3,11.1,1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.7,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.7,10.4,1,0,10.4,10.4,10.4,10.4
KESEHATAN MASYARAKAT,pil_1,10.6,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
PENDIDIKAN BIOLOGI,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.8,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.2,10,1.2,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,11.1,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.6,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
PENDIDIKAN GEOGRAFI,pil_1,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.9,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,9.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.7,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
AKUNTANSI,pil_1,10.8,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.5,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,9.6,1.1,0,9.6,9.6,9.6,9.6
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
TEKNIK ELEKTRO,pil_1,10.7,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.8,9.4,1,0,9.4,9.4,9.4,9.4
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
TEKNIK ELEKTRO,pil_1,10.5,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.1,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,9.9,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.9,10.9,1,0,10.9,10.9,10.9,10.9
PENDIDIKAN LUAR SEKOLAH,pil_1,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.8,11.1,1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
AKUNTANSI,pil_1,10.5,11.2,1,0,11.2,11.2,11.2,11.2
Tidak Lulus,Tidak Lulus,9.9,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
TEKNIK INFORMATIKA,pil_1,10.3,11.6,1,0,11.6,11.6,11.6,11.6
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
PENDIDIKAN BIOLOGI,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
PENDIDIKAN BIOLOGI,pil_1,10.5,10.5,1,0,10.5,10.5,10.5,10.5
TEKNIK INFORMATIKA,pil_1,10.7,10.9,1,0,10.9,10.9,10.9,10.9
Tidak Lulus,Tidak Lulus,10.9,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
TEKNIK INFORMATIKA,pil_1,10.3,11.1,1.1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,10.1,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.4,1,0,10.4,10.4,10.4,10.4
TEKNIK INFORMATIKA,pil_1,10.4,11.2,1.1,0,11.2,11.2,11.2,11.2
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.3,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.8,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
TEKNIK INFORMATIKA,pil_1,10.3,10.9,1,0,10.9,10.9,10.9,10.9
Tidak Lulus,Tidak Lulus,10.6,10.7,1.1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.7,9.6,1,0,9.6,9.6,9.6,9.6
Tidak Lulus,Tidak Lulus,9.8,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.9,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.8,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.2,10.9,1,0,10.9,10.9,10.9,10.9
Tidak Lulus,Tidak Lulus,10.6,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.1,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,11,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.1,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
MANAJEMEN,pil_1,10.8,10.6,1,0,10.6,10.6,10.6,10.6
PENDIDIKAN MATEMATIKA,pil_1,11.6,11.5,1,0,11.5,11.5,11.5,11.5
Tidak Lulus,Tidak Lulus,10.1,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.8,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.6,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.8,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.7,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
TEKNIK SIPIL,pil_1,10.9,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
TEKNIK SIPIL,pil_1,10.9,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.4,9.9,1,0,9.9,9.9,9.9,9.9
TEKNIK SIPIL,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.6,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,11.1,11.1,1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,11.1,10.9,1,0,10.9,10.9,10.9,10.9
Tidak Lulus,Tidak Lulus,11.1,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.5,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.7,10,1,0,10,10,10,10
